Organism Name	GenBank Accession	Superkingdom	Temperature Range	Pathogenic	Oxygen Requirement	Salinity	Habitat	Average tAI									
Staphylococcus aureus COL	CP000046	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3147009									
Staphylococcus aureus JH1	CP000736	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.3021271									
Staphylococcus aureus JH9	CP000703	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.2883146									
Staphylococcus aureus Mu3	AP009324	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.3014695									
Staphylococcus aureus Mu50	BA000017	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3013745									
Staphylococcus aureus MW2	BA000033	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3017704									
Staphylococcus aureus N315	BA000018	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3147467									
Staphylococcus aureus NCTC 8325	CP000253	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2986662									
Staphylococcus aureus RF122	AJ938182	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.3840431									
Staphylococcus aureus USA300 TCH1516	CP000730	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3004509									
Staphylococcus epidermidis ATCC 12228	AE015929	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2909556									
Staphylococcus epidermidis RP62A	CP000029	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2921518									
Staphylococcus haemolyticus	AP006716	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2995529									
Staphylococcus saprophyticus	AP008934	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.2978619									
Streptococcus agalactiae 2603	AE009948	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2584505									
Streptococcus agalactiae A909	CP000114	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2599704									
Streptococcus gordonii Challis substr CH1	CP000725	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3276324									
Streptococcus mutans	AE014133	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2791244									
Streptococcus pneumoniae CGSP14	CP001033	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2668693									
Streptococcus pneumoniae D39	CP000410	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2691881									
Streptococcus pneumoniae Hungary19A 6	CP000936	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2680328									
Streptococcus pneumoniae R6	AE007317	Bacteria	Mesophilic		Facultative		Multiple	0.2671621									
Streptococcus pneumoniae TIGR4	AE005672	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2671848									
Streptococcus pyogenes M1 GAS	AE004092	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2295985									
Streptococcus pyogenes Manfredo	AM295007	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.255141									
Streptococcus pyogenes MGAS10270	CP000260	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2533667									
Streptococcus pyogenes MGAS10394	CP000003	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2537218									
Streptococcus pyogenes MGAS10750	CP000262	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2532707									
Streptococcus pyogenes MGAS2096	CP000261	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2544367									
Streptococcus pyogenes MGAS315	AE014074	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2557322									
Streptococcus pyogenes MGAS5005	CP000017	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2536512									
Streptococcus pyogenes MGAS6180	CP000056	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.252983									
Streptococcus pyogenes MGAS8232	AE009949	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.260338									
Streptococcus pyogenes MGAS9429	CP000259	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2556628									
Streptococcus pyogenes SSI-1	BA000034	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2578057									
Streptococcus sanguinis SK36	CP000387	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3346662									
Streptococcus suis 05ZYH33	CP000407	Bacteria	Mesophilic	"Swine, Human"	Facultative	Non-halophilic	Multiple	0.3163889									
Streptococcus suis 98HAH33	CP000408	Bacteria	Mesophilic	"Swine, Human"	Facultative	Non-halophilic	Specialized	0.3160071									
Streptococcus thermophilus CNRZ1066	CP000024	Bacteria	Thermophilic	No	Anaerobic		Multiple	0.2504004									
Streptococcus thermophilus LMD-9	CP000419	Bacteria	Mesophilic	No	Facultative	Non-halophilic	Multiple	0.2530026									
Streptococcus thermophilus LMG 18311	CP000023	Bacteria	Thermophilic	No	Anaerobic		Multiple	0.2512967									
Streptomyces avermitilis	BA000030	Bacteria	Mesophilic	No	Aerobic		Multiple	0.3677647									
Streptomyces griseus NBRC 13350	AP009493	Bacteria	Mesophilic	No	Aerobic		Multiple	0.498326									
Sulfolobus acidocaldarius DSM 639	CP000077	Archaea	Thermophilic	No	Aerobic		Specialized	0.2502076									
Sulfolobus islandicus L D 8 5 uid43679	CP001731	Archaea	Hyperthermophilic	No	Aerobic		Specialized	0.3421134									
Sulfolobus islandicus L S 2 15	CP001399	Archaea	Hyperthermophilic	No	Aerobic		Specialized	0.3417033									
Sulfolobus islandicus M 14 25	CP001400	Archaea	Hyperthermophilic	No	Aerobic		Specialized	0.3370284									
Sulfolobus islandicus M 16 27	CP001401	Archaea	Hyperthermophilic	No	Aerobic	Non-halophilic	Specialized	0.5869997									
Sulfolobus islandicus M 16 4	CP001402	Archaea	Hyperthermophilic	No	Aerobic	Non-halophilic	Specialized	0.5888594									
Sulfolobus islandicus Y N 15 51	CP001404	Archaea	Hyperthermophilic	No		Non-halophilic	Specialized	0.5897223									
Sulfolobus solfataricus	AE006641	Archaea	Hyperthermophilic	No	Aerobic		Specialized	0.4019665									
Sulfolobus tokodaii	BA000023	Archaea	Hyperthermophilic	No	Aerobic		Specialized	0.5770842									
Sulfurihydrogenibium YO3AOP1	CP001080	Bacteria	Thermophilic	No	Facultative		Specialized	0.2893841									
Sulfurovum NBC37-1	AP009179	Bacteria	Mesophilic	No	Facultative		Specialized	0.3114543									
Symbiobacterium thermophilum IAM14863	AP006840	Bacteria	Thermophilic	No	Microaerophilic	Non-halophilic	Terrestrial	0.626813									
Synechococcus CC9311	CP000435	Bacteria	Mesophilic	No			Aquatic	0.4001158									
Synechococcus CC9605	CP000110	Bacteria	Mesophilic	No			Aquatic	0.2253772									
Synechococcus CC9902	CP000097	Bacteria	Mesophilic	No			Aquatic	0.4171893									
Synechococcus elongatus PCC 6301	AP008231	Bacteria	Mesophilic	No		Non-halophilic	Aquatic	0.4179743									
Synechococcus elongatus PCC 7942	CP000100	Bacteria	Mesophilic				Aquatic	0.4176713									
Synechococcus PCC 7002	CP000951	Bacteria	Mesophilic	No			Aquatic	0.409465									
Synechococcus RCC307	CT978603	Bacteria	Mesophilic				Aquatic	0.6315651									
Synechococcus WH 7803	CT971583	Bacteria	Mesophilic				Aquatic	0.3677315									
Synechocystis PCC6803	BA000022	Bacteria	Mesophilic	No			Aquatic	0.3962909									
Syntrophobacter fumaroxidans MPOB	CP000478	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.4759206									
Syntrophomonas wolfei Goettingen	CP000448	Bacteria		No	Anaerobic		Multiple	0.3622285									
Syntrophus aciditrophicus SB	CP000252	Bacteria	Mesophilic		Anaerobic		Multiple	0.4821898									
Thermoanaerobacter pseudethanolicus ATCC 33223	CP000924	Bacteria	Thermophilic	No	Anaerobic		Aquatic	0.3539184									
Thermobifida fusca YX	CP000088	Bacteria	Thermophilic	Human	Aerobic		Multiple	0.3952638									
Thermococcus gammatolerans EJ3	CP001398	Archaea	Hyperthermophilic	No	Anaerobic	Mesophilic	Specialized	0.40472									
Thermococcus kodakaraensis KOD1	AP006878	Archaea	Hyperthermophilic		Anaerobic	Mesophilic	Specialized	0.4082829									
Thermococcus onnurineus NA1	CP000855	Archaea	Hyperthermophilic	No	Anaerobic		Terrestrial	0.6866741									
Thermoplasma acidophilum	AL139299	Archaea	Thermophilic	No	Facultative		Specialized	0.6342447									
Thermoplasma volcanium	BA000011	Archaea	Thermophilic	No	Facultative		Specialized	0.601141									
Thermoproteus neutrophilus V24Sta	CP001014	Archaea	Hyperthermophilic	No	Anaerobic		Specialized	0.7546166									
Thermosynechococcus elongatus	BA000039	Bacteria	Thermophilic	No			Specialized	0.5915429									
Thermotoga lettingae TMO	CP000812	Bacteria	Hyperthermophilic	No	Anaerobic		Specialized	0.6058493									
Thermotoga maritima	AE000512	Bacteria	Hyperthermophilic	No	Anaerobic		Specialized	0.4565735									
Thermotoga petrophila RKU-1	CP000702	Bacteria	Hyperthermophilic	No	Anaerobic		Aquatic	0.6742209									
Thermus thermophilus HB27	AE017221	Bacteria	Thermophilic		Aerobic		Specialized	0.3436699									
Thermus thermophilus HB8	AP008226	Bacteria	Thermophilic		Aerobic		Specialized	0.4892625									
Thiobacillus denitrificans ATCC 25259	CP000116	Bacteria	Mesophilic	No	Facultative		Multiple	0.4682535									
Thiomicrospira crunogena XCL-2	CP000109	Bacteria	Mesophilic	No	Microaerophilic		Aquatic	0.2932932									
Treponema denticola ATCC 35405	AE017226	Bacteria	Mesophilic	Human	Anaerobic		Host-associated	0.5943168									
Treponema pallidum	AE000520	Bacteria	Mesophilic	Human	Anaerobic		Host-associated	0.6725617									
Trichodesmium erythraeum IMS101	CP000393	Bacteria		No	Aerobic		Aquatic	0.354671									
Tropheryma whipplei Twist	AE014184	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.298284									
uncultured methanogenic archaeon RC-I	AM114193	Archaea	Mesophilic	No		Non-halophilic	Host-associated	0.2224658									
Ureaplasma parvum serovar 3 ATCC 27815	CP000942	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.566157									
Ureaplasma urealyticum	AF222894	Bacteria	Mesophilic	Animal	Facultative		Host-associated	0.5657484									
Verminephrobacter eiseniae EF01-2	CP000542	Bacteria	Mesophilic	No		Non-halophilic	Host-associated	0.3291078									
Vibrio cholerae	AE003852	Bacteria	Mesophilic	"Human, Primate"	Facultative		Aquatic	0.31664									
Vibrio cholerae O395	CP001235	Bacteria	Mesophilic	"Human, Primate"	Facultative		Aquatic	0.3121512									
Vibrio harveyi ATCC BAA-1116	CP006605	Bacteria	Mesophilic	Vertebrate and invertebrate aquatic organisms	Facultative	Moderate halophilic	Aquatic	0.2060253									
Vibrio parahaemolyticus	BA000031	Bacteria	Mesophilic	Human	Facultative		Aquatic	0.223825									
Vibrio vulnificus CMCP6	AE016795	Bacteria	Mesophilic	Human	Facultative		Aquatic	0.3194582									
Vibrio vulnificus YJ016	BA000037	Bacteria	Mesophilic	Human	Facultative		Aquatic	0.2836837									
Wigglesworthia brevipalpis	BA000021	Bacteria	Mesophilic	No			Host-associated	0.3449979									
Wolbachia endosymbiont of Brugia malayi TRS	AE017321	Bacteria	Mesophilic			Non-halophilic	Host-associated	0.5017904									
Wolbachia endosymbiont of Drosophila melanogaster	AE017196	Bacteria	Mesophilic	No			Host-associated	0.5080761									
Xanthobacter autotrophicus Py2	CP000781	Bacteria	Mesophilic	No	Facultative		Multiple	0.3497377									
Xanthomonas campestris ATCC 33913	AE008922	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.5807066									
Xanthomonas campestris 8004	CP000050	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.5795788									
Xanthomonas campestris vesicatoria 85-10	AM039952	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.5128334									
Xanthomonas citri	AE008923	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.4493479									
Xanthomonas oryzae KACC10331	AE013598	Bacteria	Mesophilic	Rice	Aerobic		Host-associated	0.549997									
Xanthomonas oryzae MAFF 311018	AP008229	Bacteria	Mesophilic	Rice	Aerobic		Host-associated	0.5605999									
Xylella fastidiosa	AE003849	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.3332766									
Xylella fastidiosa M12	CP000941	Bacteria	Mesophilic	Citrus	Aerobic	Non-halophilic	Host-associated	0.3383289									
Xylella fastidiosa M23	CP001011	Bacteria	Mesophilic		Aerobic		Host-associated	0.329662									
Xylella fastidiosa Temecula1	AE009442	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.4896959									
Yersinia enterocolitica 8081	AM286415	Bacteria	Mesophilic	"Human, Animal"	Facultative		Multiple	0.2719109									
Yersinia pestis Angola	CP000901	Bacteria	Mesophilic	"Human, Rodent"	Facultative		Multiple	0.3493683									
Yersinia pestis Antiqua	CP000308	Bacteria	Mesophilic	"Human, Animal"	Facultative	Non-halophilic	Multiple	0.3655044									
Yersinia pestis biovar Mediaevails	AE017042	Bacteria	Mesophilic	"Human, Rodent"	Facultative		Multiple	0.3612931									
Yersinia pestis CO92	AL590842	Bacteria	Mesophilic	"Human, Rodent"	Facultative		Multiple	0.3542969									
Yersinia pestis Nepal516	CP000305	Bacteria	Mesophilic	"Human, Animal"	Facultative		Multiple	0.293408									
Yersinia pestis Pestoides F	CP000668	Bacteria	Mesophilic	"Human, Rodent"	Facultative	Non-halophilic	Multiple	0.2812681									
Yersinia pseudotuberculosis IP 31758	CP000720	Bacteria	Mesophilic	"Human, Animal"	Facultative		Multiple	0.1907996									
Yersinia pseudotuberculosis IP32953	BX936398	Bacteria	Mesophilic	"Human, Animal"	Facultative		Multiple	0.2143461									
Yersinia pseudotuberculosis YPIII	CP000950	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2422234									
Zymomonas mobilis ZM4	AE008692	Bacteria	Mesophilic	No	Anaerobic		Multiple	0.3043276									
