Prokaryote Name	Tax ID	Average CAI	Median CAI	Coefficient of Variation (of CAI)	Nc Difference	Average Nc	Salinity	Oxygen Requirment	Habitat	Temp. Range	Pathogenic	Present in the trimmed list	Super Kingdom	GC content (%)
Leptospira interrogans serovar Lai	189518	0.695169006	0.698	0.050468882	-0.050113737	46.72417677		Aerobic	Host-associated	Mesophilic	Animal	Yes	Bacteria	0.350249269
Leptothrix cholodnii SP 6	395495	0.699619361	0.713	0.122217449	-0.131274565	31.35070568		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.688996809
Leptotrichia buccalis DSM 1135	523794	0.618986607	0.619	0.116181577	0.157240902	39.37400198		Anaerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.296456861
Leuconostoc citreum KM20	349519	0.442581395	0.43	0.173733382	0.251712688	45.79686597	Non-halophilic	Facultative		Mesophilic	No	Yes	Bacteria	0.388694273
Leuconostoc gasicomitatum LMG 18811 uid50385	762550	0.543234132	0.536	0.11234941	0.177352319	43.84024491						Yes	Bacteria	0.366632379
Leuconostoc kimchii IMSNU 11154 uid48589	762051	0.54523494	0.539	0.108131606	0.172109488	45.24610515		Facultative		Mesophilic	No	No	Bacteria	0.37909693
Leuconostoc kimchii IMSNU11154 uid48589	762051	0.54523494	0.539	0.108131606	0.172109488	45.24610515		Facultative		Mesophilic	No	Yes	Bacteria	0.37909693
Leuconostoc mesenteroides ATCC 8293	203120	0.50695	0.495	0.142493979	0.237921563	46.46213371		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.376686067
Listeria innocua	272626	0.564521692	0.555	0.133443499	0.199143087	46.65090521		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.373881588
Listeria monocytogenes	169963	0.564829437	0.555	0.131514718	0.197898483	47.06812304		Facultative	Multiple	Mesophilic	Human	Yes	Bacteria	0.379810279
Listeria monocytogenes 08 5923 uid43727	637381	0.567832708	0.559	0.131510076	0.192406925	47.13346662		Facultative			Human	No	Bacteria	0.379649716
Listeria monocytogenes 4b F2365	265669	0.56251641	0.553	0.133694576	0.202234709	47.25705536		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.380412345
Listeria monocytogenes HCC23	552536	0.553237805	0.543	0.144264612	0.197591345	47.21630297		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.381936838
Listeria seeligeri serovar 1 2b SLCC3954 uid46215	683837	0.563002459	0.555	0.130363211	0.190903846	46.68493238						Yes	Bacteria	0.373826331
Listeria welshimeri serovar 6b SLCC5334	386043	0.587657831	0.581	0.117089609	0.163990371	45.0960506		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.363520164
Lysinibacillus sphaericus C3 41	444177	0.515038333	0.506	0.122032054	0.238127052	46.72145485		Aerobic	Specialized	Mesophilic	Mosquito	Yes	Bacteria	0.371349401
Macrococcus caseolyticus JCSC5402	458233	0.481633796	0.467	0.182623528	0.25074992	46.05277899		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.365631154
Magnetococcus MC-1	156889	0.689003806	0.694	0.078059297	0.023548281	46.97870638		Facultative	Aquatic		No	Yes	Bacteria	0.54167478
Magnetospirillum magneticum AMB-1	342108	0.615712383	0.631	0.189096094	0.096665127	35.62727701		Microaerophilic	Aquatic	Mesophilic	No	Yes	Bacteria	0.650939429
Mannheimia succiniciproducens MBEL55E	221988	0.498328244	0.488	0.14776167	0.210660937	46.71630076	Non-halophilic	Anaerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.425379784
Maricaulis maris MCS10	394221	0.588528522	0.592	0.143599861	0.094801568	41.39536632	Mesophilic	Facultative	Aquatic	Mesophilic	No	Yes	Bacteria	0.627276343
Marinobacter aquaeolei VT8	351348	0.564225604	0.561	0.141507721	0.087895214	46.03178747	Moderate halophilic	Facultative	Aquatic	Mesophilic	No	Yes	Bacteria	0.569270604
Marinomonas MWYL1	400668	0.485783429	0.476	0.130912973	0.186730816	49.50363634		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.425940682
Meiothermus ruber DSM 1279 uid46661	504728	0.648428986	0.656	0.121944494	-0.041571846	38.47830362		Aerobic	Specialized	Thermophilic		Yes	Bacteria	0.633843827
Meiothermus silvanus DSM 9946 uid49485	526227	0.638945249	0.64	0.101415933	0.034560521	41.63257678		Aerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.627153033
Mesoplasma florum L1	265311	0.665500787	0.656	0.115707248	0.031613776	32.97268031		Facultative	Host-associated	Mesophilic	"Mammal, Insect, Plant"	Yes	Bacteria	0.270204885
Mesorhizobium BNC1	266779	0.5813048	0.582	0.134032959	0.160841957	45.11183519		Aerobic	Multiple		No	Yes	Bacteria	0.610951768
Mesorhizobium loti	266835	0.537163395	0.55	0.19618423	0.223230737	40.61976194		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.625079957
Metallosphaera sedula DSM 5348	399549	0.772382425	0.773	0.031306052	0.020583842	50.49788169		Aerobic	Specialized	Thermophilic	No	Yes	Archaea	0.462253316
Methanobacterium thermoautotrophicum	187420	0.661535606	0.663	0.082082717	0.050635666	45.75998235		Anaerobic	Specialized	Thermophilic	No	Yes	Archaea	0.495439303
Methanobrevibacter ruminantium M1 uid45857	634498	0.617712082	0.608	0.116333151	0.130817251	43.24498715		Anaerobic		Mesophilic		Yes	Archaea	0.326409853
Methanobrevibacter smithii ATCC 35061	420247	0.654508376	0.65	0.09125491	0.09630879	38.80379575		Anaerobic	Multiple	Mesophilic		Yes	Archaea	0.310342334
Methanocaldococcus fervens AG86	573064	0.602250714	0.598	0.099208229	0.098461348	39.07532286		Anaerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.322183896
Methanocaldococcus FS406 22 uid42499	644281	0.633779237	0.634	0.088055523	0.078263208	38.97533959		Anaerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.320391104
Methanocaldococcus infernus ME uid48803	573063	0.678048875	0.68	0.069365877	0.047932228	39.1629744		Anaerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.336185075
Methanocaldococcus vulcanius M7	579137	0.634208306	0.636	0.076875568	0.08210862	40.37178642		Anaerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.315757687
Methanocella paludicola SANAE	304371	0.569861596	0.583	0.18812131	0.113004188	43.58306939					No	Yes	Archaea	0.549168846
Methanococcoides burtonii DSM 6242	259564	0.624337713	0.618	0.080607256	0.081438913	50.24782433	Moderate halophilic	Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.407580954
Methanococcus aeolicus Nankai-3	419665	0.685751668	0.686	0.068632301	0.068139025	40.39352854		Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.300374642
Methanococcus jannaschii	243232	0.629610447	0.628	0.087171903	0.071691898	38.28073379	Moderate halophilic	Anaerobic	Aquatic	Hyperthermophilic	No	Yes	Archaea	0.312937666
Methanococcus maripaludis C5	402880	0.551720297	0.536	0.146758967	0.161194676	42.44769121		Anaerobic	Aquatic	Mesophilic	No	No	Archaea	0.329759548
Methanococcus maripaludis C6	444158	0.55675172	0.544	0.146033416	0.171310714	42.6987561		Anaerobic	Aquatic	Mesophilic	No	No	Archaea	0.334231934
Methanococcus maripaludis C7	426368	0.555769617	0.541	0.146233789	0.167431204	42.68186692		Anaerobic	Aquatic	Mesophilic		No	Archaea	0.332844247
Methanococcus maripaludis S2	267377	0.553810078	0.539	0.146891819	0.162590058	42.18109625		Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.331003403
Methanococcus vannielii SB	406327	0.616663793	0.613	0.082749067	0.085954923	41.88805836	Non-halophilic	Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.313283118
Methanococcus voltae A3 uid49529	456320	0.590456048	0.577	0.126990793	0.13652983	41.06520753		Anaerobic	Aquatic	Mesophilic		Yes	Archaea	0.28594594
Methanocorpusculum labreanum Z	410358	0.571550125	0.5635	0.130706621	0.098452396	49.07458083	Non-halophilic	Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.500065929
Methanoculleus marisnigri JR1	368407	0.694722172	0.715	0.127509983	-0.046439251	39.1200292		Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.620630363
Methanohalobium evestigatum Z 7303 uid49857	644295	0.692345603	0.695	0.050348754	0.017021059	47.51573824	Extreme halophilic	Anaerobic	Specialized	Thermophilic	No	Yes	Archaea	0.364249582
Methanohalophilus mahii DSM 5219 uid47313	547558	0.694876657	0.695	0.046077546	0.020506405	51.44542421	Moderate halophilic	Anaerobic	Specialized	Mesophilic		Yes	Archaea	0.426182057
Methanopyrus kandleri	190192	0.647613402	0.644	0.13815678	0.081105057	44.72130219	Moderate halophilic	Anaerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.611591716
Methanosaeta thermophila PT	349307	0.709929642	0.717	0.074876415	0.016785871	47.47779544		Anaerobic		Thermophilic		Yes	Archaea	0.535452795
Methanosarcina acetivorans	188937	0.640379597	0.646	0.086073619	0.052027112	51.41101184		Anaerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.426808905
Methanosarcina barkeri fusaro	269797	0.711680435	0.714	0.053317641	0.017965643	51.14523913		Anaerobic	Multiple	Mesophilic	No	Yes	Archaea	0.39233644
Methanosarcina mazei	192952	0.65782004	0.663	0.080709387	0.062530916	50.40180563		Anaerobic	Multiple	Mesophilic	No	Yes	Archaea	0.41481332
Methanosphaera stadtmanae	339860	0.747226251	0.749	0.079234914	0.00065033	34.39691661		Anaerobic	Host-associated	Mesophilic		Yes	Archaea	0.276337089
Methanospirillum hungatei JF-1	323259	0.66521323	0.669	0.077695642	0.065190172	50.8504708		Anaerobic	Multiple	Mesophilic	No	Yes	Archaea	0.45149035
Methylacidiphilum infernorum V4	481448	0.733551392	0.737	0.04370899	0.006104579	53.17045236		Aerobic	Specialized	Thermophilic		Yes	Bacteria	0.454827744
Methylibium petroleiphilum PM1	420662	0.673238026	0.696	0.167160146	0.022224476	32.91179487		Facultative	Aquatic	Mesophilic		Yes	Bacteria	0.687818971
Methylobacillus flagellatus KT	265072	0.628943352	0.629	0.102664559	0.014151256	46.76423958		Aerobic	Specialized	Mesophilic		Yes	Bacteria	0.557190822
Methylobacterium 4 46	426117	0.646497602	0.685	0.199958802	0.137680919	32.61834224		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.715024832
Methylobacterium chloromethanicum CM4	440085	0.587713385	0.6	0.180694449	0.161489437	35.60525068		Aerobic	Terrestrial	Mesophilic		Yes	Bacteria	0.680792987
Methylobacterium dichloromethanicum	661410	0.58278967	0.597	0.183303181	0.160675423	35.66498921		Aerobic	Terrestrial	Mesophilic		Yes	Bacteria	0.679964617
Methylobacterium extorquens AM1	272630	0.591795999	0.6	0.165022849	0.151481819	35.21512625		Facultative	Multiple	Mesophilic	No	No	Bacteria	0.684844482
Methylobacterium extorquens DM4	661410	0.58278967	0.597	0.183303181	0.160675423	35.66498921		Aerobic	Terrestrial	Mesophilic		No	Bacteria	0.679964617
Methylobacterium extorquens PA1	419610	0.590218059	0.604	0.179065815	0.154048167	35.43644217		Facultative	Multiple	Mesophilic	No	No	Bacteria	0.681838603
Methylobacterium nodulans ORS 2060	460265	0.586484375	0.62	0.230835155	0.186949473	35.88692567		Aerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.684438165
Methylobacterium populi BJ001	441620	0.592750694	0.604	0.169450831	0.158166501	34.04657936	Non-halophilic	Aerobic		Mesophilic		Yes	Bacteria	0.693602681
Methylobacterium radiotolerans JCM 2831	426355	0.635995342	0.655	0.166936704	0.134326775	32.3521014	Non-halophilic	Aerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.710353944
Methylocella silvestris BL2	395965	0.592140127	0.603	0.143844705	0.163305663	40.9142513		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.630833622
Methylococcus capsulatus Bath	243233	0.739225175	0.749	0.093362508	-0.081101064	40.30696013		Aerobic	Multiple	Thermophilic	No	Yes	Bacteria	0.635845922
Methylotenera 301 uid49469	666681	0.622035491	0.615	0.095059983	0.162270426	49.07248752						Yes	Bacteria	0.426351307
Methylotenera mobilis JLW8	583345	0.553202123	0.539	0.125990586	0.200010076	48.8240323		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.455101921
Methylovorus SIP3 4	582744	0.587320122	0.5835	0.124915518	0.023914153	44.63752553		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.546090583
Micrococcus luteus NCTC 2665	465515	0.650476145	0.656	0.168994352	0.086721698	29.95187023		Aerobic	Multiple	Mesophilic		Yes	Bacteria	0.729952497
Microcystis aeruginosa NIES 843	449447	0.644625899	0.651	0.088751817	0.042858594	49.65834982		Aerobic	Aquatic	Mesophilic	"Animal, Human"	Yes	Bacteria	0.423306311
Mobiluncus curtisii ATCC 43063 uid49695	548479	0.575724405	0.579	0.136995441	0.15474517	50.28760179		Anaerobic		Mesophilic		Yes	Bacteria	0.554132813
Moorella thermoacetica ATCC 39073	264732	0.695200451	0.704	0.086001604	-0.011794982	46.51851016		Anaerobic	Aquatic	Thermophilic		Yes	Bacteria	0.557915371
Moraxella catarrhalis RH4 uid48809	749219	0.583329428	0.578	0.099331269	0.166804474	47.80169538		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.416715952
Mycobacterium abscessus ATCC 19977	561007	0.519255199	0.515	0.143333182	0.220190663	42.21724328		Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.641481146
Mycobacterium avium 104	243243	0.636295662	0.653	0.153272143	0.104013831	34.3199462		Aerobic	Host-associated	Mesophilic	Mammal	Yes	Bacteria	0.689880962
Mycobacterium avium paratuberculosis	262316	0.647731748	0.663	0.148160019	0.078056336	34.1417243		Aerobic	Multiple	Mesophilic	Mammal	No	Bacteria	0.692986079
Mycobacterium bovis	233413	0.606282555	0.609	0.105690312	0.099839225	41.8698355		Aerobic	Host-associated	Mesophilic	"Human, Animal"	No	Bacteria	0.656329824
Mycobacterium bovis BCG Pasteur 1173P2	410289	0.605976904	0.609	0.106369956	0.099557395	41.8828749	Non-halophilic	Aerobic	Host-associated	Mesophilic	Bovine	No	Bacteria	0.656360398
Mycobacterium bovis BCG Tokyo 172	561275	0.606622595	0.61	0.105782228	0.09799512	41.85293898	Non-halophilic	Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.656430171
Mycobacterium gilvum PYR-GCK	350054	0.58859928	0.603	0.157401176	0.138414348	36.65484236				Mesophilic		Yes	Bacteria	0.677441057
Mycobacterium JLS	164757	0.602223244	0.616	0.147604707	0.127667077	35.67975561	Non-halophilic		Multiple	Mesophilic	No	Yes	Bacteria	0.683564234
Mycobacterium KMS	189918	0.598212732	0.615	0.156931866	0.129964355	35.895472	Non-halophilic		Multiple	Mesophilic	No	Yes	Bacteria	0.682281346
Mycobacterium leprae	272631	0.62498283	0.628	0.071020249	0.092177672	49.18666552	Non-halophilic	Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.577967464
Mycobacterium leprae Br4923	561304	0.624976632	0.628	0.07102193	0.092580854	49.19789141	Non-halophilic	Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.577975251
Mycobacterium marinum M	216594	0.574824916	0.578	0.117622298	0.139405129	41.18288426		Aerobic	Multiple	Mesophilic	"Fish, Human"	Yes	Bacteria	0.657340892
Mycobacterium MCS	164756	0.606450075	0.62	0.146764961	0.119713805	35.61869612	Non-halophilic			Mesophilic	No	Yes	Bacteria	0.683863909
Mycobacterium smegmatis MC2 155	246196	0.58796527	0.596	0.1461604	0.129259494	36.46576357		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.674028066
Mycobacterium tuberculosis CDC1551	83331	0.601723521	0.605	0.109637109	0.105615158	42.18248033		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.656093951
Mycobacterium tuberculosis F11	336982	0.606304654	0.608	0.105751622	0.102157586	41.96244183		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.656178246
Mycobacterium tuberculosis H37Ra	419947	0.60566307	0.607	0.104571448	0.101707457	41.92378878	Non-halophilic	Aerobic	Host-associated		Human	No	Bacteria	0.656125134
Mycobacterium tuberculosis H37Rv	83332	0.606346779	0.608	0.104354553	0.100660499	41.88054277		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.656141223
Mycobacterium tuberculosis KZN 1435	478434	0.604744261	0.607	0.106702107	0.10332591	42.01131785		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.656141647
Mycobacterium ulcerans Agy99	362242	0.582692754	0.583	0.109584892	0.128759237	41.18761525	Non-halophilic	Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.653915826
Mycobacterium vanbaalenii PYR-1	350058	0.582958473	0.592	0.144124223	0.136639664	36.49290334		Aerobic		Mesophilic		Yes	Bacteria	0.677931226
Mycoplasma agalactiae PG2	347257	0.616361795	0.611	0.099241257	0.095680352	38.76055137		Facultative	Host-associated	Psychrophilic	"Sheep, Goat"	Yes	Bacteria	0.297070562
Mycoplasma arthritidis 158L3 1	243272	0.645095986	0.642	0.079737849	0.105174967	42.57160733	Non-halophilic	Facultative	Host-associated	Mesophilic	Rodent	Yes	Bacteria	0.307094983
Mycoplasma capricolum ATCC 27343	340047	0.714237154	0.721	0.084183295	0.009828116	30.75133597	Non-halophilic	Facultative	Host-associated	Mesophilic	Ruminant	Yes	Bacteria	0.237704488
Mycoplasma conjunctivae HRC 581 uid32285	572263	0.653098305	0.652	0.074022586	0.079654963	39.38110508		Microaerophilic	Host-associated	Mesophilic	"Sheep, Goats"	No	Bacteria	0.285387233
Mycoplasma crocodyli MP145 uid47087	512564	0.6721563	0.668	0.078030115	0.046839712	35.56476874		Facultative	Host-associated	Mesophilic		Yes	Bacteria	0.269540192
Mycoplasma gallisepticum	710127	0.632847795	0.628	0.092568967	0.071604436	41.04956899	Non-halophilic	Facultative	Host-associated	Mesophilic	Avian	Yes	Bacteria	0.314698855
Mycoplasma genitalium	243273	0.713466814	0.715	0.050763148	-0.079113435	41.40705973	Non-halophilic	Facultative	Host-associated	Mesophilic	"Human, Animal, Insect"	No	Bacteria	0.316891235
Mycoplasma hyopneumoniae 232	295358	0.683145367	0.683	0.045556017	-0.003539853	43.01333067	Non-halophilic	Facultative	Host-associated	Mesophilic	Swine	Yes	Bacteria	0.285611554
Mycoplasma hyopneumoniae 7448	262722	0.688009756	0.688	0.044553982	-0.009180015	42.92416423	Non-halophilic	Facultative	Host-associated	Mesophilic	Swine	No	Bacteria	0.28488858
Mycoplasma hyopneumoniae J	262719	0.687898858	0.688	0.045596299	-0.010012149	42.93819576	Non-halophilic	Facultative	Host-associated	Mesophilic	Swine	No	Bacteria	0.285222391
Mycoplasma mobile 163K	267748	0.699656566	0.701	0.073022965	0.009733568	33.21900168	Non-halophilic	Facultative	Host-associated	Mesophilic	Fish	Yes	Bacteria	0.249512598
Mycoplasma mycoides	272632	0.70461236	0.718	0.105399714	0.019964061	31.18452809	Non-halophilic	Facultative	Host-associated	Mesophilic	Cattle	Yes	Bacteria	0.239656087
Mycoplasma penetrans	272633	0.706941667	0.7115	0.075614313	0.023982938	33.07049479	Non-halophilic	Facultative	Host-associated	Mesophilic	Human	Yes	Bacteria	0.257175411
Mycoplasma pneumoniae	272634	0.668699849	0.672	0.062921974	0.045216653	49.506	Non-halophilic	Facultative	Host-associated	Mesophilic	Human	Yes	Bacteria	0.400080108
Mycoplasma pulmonis	272635	0.695354196	0.695	0.061432669	0.04395633	35.34198009	Non-halophilic	Facultative	Host-associated	Mesophilic	Rodent	Yes	Bacteria	0.266365384
Mycoplasma synoviae 53	262723	0.704630894	0.711	0.084249363	0.025800514	36.88602602	Non-halophilic	Facultative	Host-associated	Mesophilic	Chicken	Yes	Bacteria	0.284951643
Myxococcus xanthus DK 1622	246197	0.636800352	0.647	0.17570222	0.086512106	35.09070684		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.688912393
Nakamurella multipartita DSM 44233	479431	0.658806285	0.681	0.157893398	0.066485715	31.88078354			Terrestrial	Mesophilic	No	Yes	Bacteria	0.709164632
Nanoarchaeum equitans	228908	0.693508264	0.698	0.055925776	0.051649171	41.45977893		Anaerobic	Host-associated	Hyperthermophilic	No	No	Archaea	0.315595302
Natranaerobius thermophilus JW NM WN LF	457570	0.712855988	0.715	0.048799095	-0.049486346	47.08039546	Moderate halophilic		Specialized	Thermophilic	No	Yes	Bacteria	0.363089477
Natrialba magadii ATCC 43099 uid46245	547559	0.584969244	0.598	0.176535947	0.117729642	41.21492048	Extreme halophilic	Aerobic	Specialized	Mesophilic		Yes	Archaea	0.610501789
Natronomonas pharaonis	348780	0.589302411	0.594	0.140232613	0.127316127	40.62952186	Moderate halophilic	Aerobic	Aquatic			Yes	Archaea	0.631196685
Nautilia profundicola AmH	598659	0.600714377	0.595	0.148007016	0.172783538	42.52834185		Anaerobic	Multiple	Mesophilic		Yes	Bacteria	0.335075314
Neisseria gonorrhoeae FA 1090	242231	0.536169856	0.531	0.150390403	0.105574635	43.41254725		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.526896517
Neisseria gonorrhoeae NCCP11945	521006	0.541021972	0.535	0.169123102	0.126047538	43.73544802		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.523648386
Neisseria meningitidis	662598	0.545342525	0.541	0.141000959	0.10377501	43.26837439						No	Bacteria	0.519471681
Neisseria meningitidis 053442	374833	0.535969715	0.528	0.140939058	0.110932278	43.50306532		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.517003217
Neisseria meningitidis alpha14	662598	0.545342525	0.541	0.141000959	0.10377501	43.26837439						No	Bacteria	0.519471681
Neisseria meningitidis FAM18	272831	0.546522887	0.538	0.13593307	0.107628885	43.40639319		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.516236507
Neisseria meningitidis MC58	122586	0.534321614	0.526	0.143220788	0.115087223	43.33979481		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.515278389
Neisseria meningitidis Z2491	122587	0.541873072	0.5345	0.137103472	0.104467681	43.08643357		Aerobic	Host-associated	Mesophilic	Human	No	Bacteria	0.518091417
Neorickettsia risticii Illinois	434131	0.64174893	0.642	0.055812714	0.07442838	52.75760342			Host-associated	Mesophilic	Horse	Yes	Bacteria	0.41271306
Neorickettsia sennetsu Miyayama	222891	0.638820961	0.64	0.0564572	0.062033206	52.98123726			Multiple		Human	Yes	Bacteria	0.410843463
Nitratiruptor SB155-2	387092	0.633012238	0.628	0.064281568	0.131154428	51.19817657		Anaerobic	Specialized	Thermophilic		Yes	Bacteria	0.396886254
Nitrobacter hamburgensis X14	323097	0.575729645	0.585	0.17058253	0.174494427	42.94437761		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.616173091
Nitrobacter winogradskyi Nb-255	323098	0.610035231	0.617	0.137322525	0.132928168	42.29357794		Facultative	Terrestrial	Mesophilic	No	Yes	Bacteria	0.620490092
Nitrosococcus halophilus Nc4 uid46803	472759	0.773092746	0.775	0.033257988	-0.041211953	52.57232354						Yes	Bacteria	0.516058824
Nitrosococcus oceani ATCC 19707	323261	0.750754778	0.753	0.038511692	-0.057357281	53.21538803	Mesophilic		Aquatic			Yes	Bacteria	0.503419114
Nitrosococcus watsoni C 113 uid50331	105559	0.783246698	0.786	0.035705619	-0.009275446	53.13557731						Yes	Bacteria	0.501378478
Nitrosomonas europaea	228410	0.705381498	0.708	0.052669947	0.020524675	51.17213965		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.507181837
Nitrosomonas eutropha C71	335283	0.644968531	0.649	0.079720273	0.049527669	52.55889336			Multiple			Yes	Bacteria	0.485409932
Nitrosopumilus maritimus SCM1	436308	0.667668575	0.672	0.083981036	0.050803378	39.62996056		Aerobic	Aquatic	Mesophilic	No	Yes	Archaea	0.34167508
Nitrosospira multiformis ATCC 25196	323848	0.733438563	0.736	0.051500527	0.015388564	52.43117736		Aerobic	Terrestrial	Mesophilic		Yes	Bacteria	0.538771342
Nocardia farcinica IFM10152	247156	0.614062488	0.625	0.161475834	0.103636487	32.9110247	Non-halophilic	Aerobic	Multiple	Mesophilic	"Human, Animal"	Yes	Bacteria	0.706923207
Nocardioides JS614	196162	0.668630779	0.693	0.158621305	0.105245687	31.90769394	Non-halophilic	Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.714404427
Nocardiopsis dassonvillei DSM 43111 uid49483	446468	0.690451836	0.702	0.130547219	0.037885919	30.18083774	Non-halophilic		Multiple			Yes	Bacteria	0.727297583
Nostoc punctiforme PCC 73102	63737	0.738497822	0.739	0.040482958	0.003896158	51.54729172		Aerobic	Multiple		No	Yes	Bacteria	0.413545205
Nostoc sp	103690	0.700090702	0.701	0.048266984	0.014510843	50.67673037		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.412683316
Novosphingobium aromaticivorans DSM 12444	279238	0.532345544	0.532	0.197743131	0.174689776	38.15359732		Aerobic	Multiple		No	Yes	Bacteria	0.651125808
Oceanobacillus iheyensis	221109	0.592892914	0.591	0.090798506	0.152258694	45.46113338	Moderate halophilic	Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.356813114
Ochrobactrum anthropi ATCC 49188	439375	0.530613683	0.523	0.15450208	0.228108763	46.57577738	Non-halophilic		Terrestrial	Mesophilic	Human	Yes	Bacteria	0.561250127
Oenococcus oeni PSU-1	203123	0.626175355	0.625	0.06667572	0.10342627	49.56893771		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.378888828
Oligotropha carboxidovorans OM5	504832	0.582485547	0.591	0.16647773	0.151916195	39.99971452			Multiple	Mesophilic	No	Yes	Bacteria	0.623994795
Onion yellows phytoplasma	262768	0.687440476	0.688	0.077895758	-0.036114982	38.34989881		Aerobic	Host-associated	Mesophilic	Onion	Yes	Bacteria	0.277599406
Opitutus terrae PB90 1	452637	0.587456542	0.591	0.140865757	0.107085791	39.25877336		Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.653411396
Orientia tsutsugamushi Boryong	357244	0.640745079	0.646	0.081130633	0.059583565	40.41173031			Host-associated		Human	Yes	Bacteria	0.305310498
Orientia tsutsugamushi Ikeda	334380	0.624435575	0.627	0.090588	0.077697077	41.40772973	Non-halophilic		Host-associated	Mesophilic	Human	No	Bacteria	0.305137863
Paenibacillus JDR 2	324057	0.617356517	0.609	0.103130832	0.144053668	50.04361633		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.502781377
Pantoea ananatis LMG 20103 uid46807	706191	0.456521449	0.448	0.160645699	0.19822775	47.03224146		Facultative	Multiple	Mesophilic	Plants	Yes	Bacteria	0.536871005
Parabacteroides distasonis ATCC 8503	435591	0.521448285	0.513	0.143846294	0.122197898	49.90100576		Anaerobic	Host-associated	Mesophilic	Mammal	Yes	Bacteria	0.450595765
Parachlamydia sp UWE25	264201	0.657592836	0.662	0.058205957	0.023480295	45.88598209			Host-associated	Mesophilic	Animal	Yes	Bacteria	0.347175438
Paracoccus denitrificans PD1222	318586	0.581544039	0.598	0.177651962	0.132460723	35.76457155		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.667993012
Parvibaculum lavamentivorans DS-1	402881	0.650088296	0.657	0.154985841	0.091637083	40.74072133		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.623280954
Pasteurella multocida	272843	0.505949527	0.498	0.126449703	0.187637519	45.60428233		Facultative	Host-associated	Mesophilic	"Human, Animal"	Yes	Bacteria	0.404048838
Pectobacterium carotovorum PC1	561230	0.46219017	0.45	0.171844821	0.197062761	47.72150772						Yes	Bacteria	0.519317537
